Noise,Run,Embed,Method,AUC
0.001,2,9,PCM,0.4538345410628019
0.001,2,9,CMC,0.8310839371980676
0.001,2,9,DCMC,0.8242451690821255
0.001,2,10,CCM,0.48401268115942025
0.001,2,10,PCM,0.47196557971014497
0.001,2,10,CMC,0.8361413043478261
0.001,2,10,DCMC,0.829362922705314
0.001,3,3,CCM,0.3879262799889696
0.001,3,3,PCM,0.38719091828293045
0.001,3,3,CMC,0.8148956705579558
0.001,3,3,DCMC,0.813539847412446
0.001,3,4,CCM,0.3807794834084015
0.001,3,4,PCM,0.38045776266200937
0.001,3,4,CMC,0.8430921959738947
0.001,3,4,DCMC,0.8368875815791892
0.001,3,5,CCM,0.3654747679014615
0.001,3,5,PCM,0.3697950179244416
0.001,3,5,CMC,0.8496644912216197
0.001,3,5,DCMC,0.8448616600790514
0.001,3,6,CCM,0.4130204982075558
0.001,3,6,PCM,0.4105616325029874
0.001,3,6,CMC,0.8594080338266384
0.001,3,6,DCMC,0.8559840058828937
0.001,3,7,CCM,0.4093207096240463
0.001,3,7,PCM,0.40038146888500786
0.001,3,7,CMC,0.8595918742531482
0.001,3,7,DCMC,0.8464932438643257
0.001,3,8,CCM,0.416168765511536
0.001,3,8,PCM,0.406609063333027
0.001,3,8,CMC,0.8482167478628551
0.001,3,8,DCMC,0.8441262983730122
0.001,3,9,CCM,0.35221527713944295
0.001,3,9,PCM,0.3383353249379538
0.001,3,9,CMC,0.8430462358672672
0.001,3,9,DCMC,0.8355547384869932
0.001,3,10,CCM,0.40573582130710545
0.001,3,10,PCM,0.4010249103777921
0.001,3,10,CMC,0.8431611361338358
0.001,3,10,DCMC,0.837737843551797
0.001,4,3,CCM,0.4725430597771023
0.001,4,3,PCM,0.4711696498930542
0.001,4,3,CMC,0.7773950242035348
0.001,4,3,DCMC,0.7764268828098615
0.001,4,4,CCM,0.4527299335809974
0.001,4,4,PCM,0.45597208150399643
0.001,4,4,CMC,0.7937408533153214
0.001,4,4,DCMC,0.792817741753912
0.001,4,5,CCM,0.4514465833614769
0.001,4,5,PCM,0.4498029944838456
0.001,4,5,CMC,0.8341100979398852
0.001,4,5,DCMC,0.8418101992570077
0.001,4,6,CCM,0.4591241697624676
0.001,4,6,PCM,0.45775075987841946
0.001,4,6,CMC,0.8242035348418328
0.001,4,6,DCMC,0.8408645727794664
0.001,4,7,CCM,0.48177417539119666
0.001,4,7,PCM,0.47607790160981656
0.001,4,7,CMC,0.833074411797816
0.001,4,7,DCMC,0.836699313295058
0.001,4,8,CCM,0.48017561634582917
0.001,4,8,PCM,0.4666891815827986
0.001,4,8,CMC,0.8419678036699313
0.001,4,8,DCMC,0.842057863334459
0.001,4,9,CCM,0.47767646065518404
0.001,4,9,PCM,0.46491050320837557
0.001,4,9,CMC,0.8507261060452549
0.001,4,9,DCMC,0.8411347517730496
0.001,4,10,CCM,0.4983226387481707
0.001,4,10,PCM,0.4761454463582123
0.001,4,10,CMC,0.8515366430260047
